기간,행정구역,직업유형,합계,남자,여자
2015 ,구로구,농림어업 숙련 종사자,162 ,114 ,48 
2015 ,구로구,기능원 및 관련기능종사자,18496 ,15406 ,3090 
2015 ,구로구,장치기계조작 및 조립종사자,17432 ,14846 ,2586 
2015 ,구로구,단순노무종사자,20991 ,12393 ,8598 
2015 ,구로구,기타,103 ,89 ,14 
2015 ,금천구,소계,119876 ,69752 ,50124 
2015 ,금천구,관리자,1561 ,1290 ,271 
2015 ,금천구,전문가 및 관련종사자,24555 ,13859 ,10696 
2015 ,금천구,사무종사자,20983 ,9724 ,11259 
2015 ,금천구,서비스종사자,13410 ,4879 ,8531 
2015 ,금천구,판매종사자,14604 ,7486 ,7118 
2015 ,금천구,농림어업 숙련 종사자,103 ,77 ,26 
2015 ,금천구,기능원 및 관련기능종사자,17045 ,12758 ,4287 
2015 ,금천구,장치기계조작 및 조립종사자,11902 ,9716 ,2186 
2015 ,금천구,단순노무종사자,15286 ,9548 ,5738 
2015 ,금천구,기타,427 ,415 ,12 
2015 ,영등포구,소계,185518 ,107103 ,78415 
2015 ,영등포구,관리자,5443 ,4236 ,1207 
2015 ,영등포구,전문가 및 관련종사자,54016 ,29459 ,24557 
2015 ,영등포구,사무종사자,41133 ,20759 ,20374 
2015 ,영등포구,서비스종사자,18251 ,7743 ,10508 
2015 ,영등포구,판매종사자,24279 ,13635 ,10644 
2015 ,영등포구,농림어업 숙련 종사자,148 ,105 ,43 
2015 ,영등포구,기능원 및 관련기능종사자,13664 ,11064 ,2600 
2015 ,영등포구,장치기계조작 및 조립종사자,10092 ,8782 ,1310 
2015 ,영등포구,단순노무종사자,17516 ,10405 ,7111 
2015 ,영등포구,기타,976 ,915 ,61 
2015 ,동작구,소계,192677 ,107798 ,84879 
2015 ,동작구,관리자,5481 ,4263 ,1218 
2015 ,동작구,전문가 및 관련종사자,56492 ,29791 ,26701 
2015 ,동작구,사무종사자,44347 ,22370 ,21977 
2015 ,동작구,서비스종사자,19907 ,8075 ,11832 
2015 ,동작구,판매종사자,25692 ,14455 ,11237 
2015 ,동작구,농림어업 숙련 종사자,194 ,155 ,39 
2015 ,동작구,기능원 및 관련기능종사자,13177 ,10517 ,2660 
2015 ,동작구,장치기계조작 및 조립종사자,9049 ,7833 ,1216 
2015 ,동작구,단순노무종사자,17552 ,9585 ,7967 
2015 ,동작구,기타,786 ,754 ,32 
2015 ,관악구,소계,258981 ,145827 ,113154 
2015 ,관악구,관리자,5914 ,4451 ,1463 
2015 ,관악구,전문가 및 관련종사자,77409 ,42299 ,35110 
2015 ,관악구,사무종사자,49292 ,22509 ,26783 
2015 ,관악구,서비스종사자,29538 ,12557 ,16981 
2015 ,관악구,판매종사자,31199 ,16585 ,14614 
2015 ,관악구,농림어업 숙련 종사자,227 ,181 ,46 
2015 ,관악구,기능원 및 관련기능종사자,22135 ,17084 ,5051 
2015 ,관악구,장치기계조작 및 조립종사자,14861 ,13136 ,1725 
2015 ,관악구,단순노무종사자,27673 ,16356 ,11317 
2015 ,관악구,기타,733 ,669 ,64 
2015 ,서초구,소계,196572 ,113233 ,83339 
2015 ,서초구,관리자,9571 ,7642 ,1929 
2015 ,서초구,전문가 및 관련종사자,79868 ,45495 ,34373 
2015 ,서초구,사무종사자,47946 ,25774 ,22172 
2015 ,서초구,서비스종사자,15498 ,6290 ,9208 
2015 ,서초구,판매종사자,21896 ,12967 ,8929 
2015 ,서초구,농림어업 숙련 종사자,404 ,275 ,129 
2015 ,서초구,기능원 및 관련기능종사자,6095 ,4734 ,1361 
2015 ,서초구,장치기계조작 및 조립종사자,4946 ,4338 ,608 
2015 ,서초구,단순노무종사자,9639 ,5059 ,4580 
2015 ,서초구,기타,709 ,659 ,50 
2015 ,강남구,소계,255532 ,144738 ,110794 
2015 ,강남구,관리자,15264 ,12026 ,3238 
2015 ,강남구,전문가 및 관련종사자,96813 ,54779 ,42034 
2015 ,강남구,사무종사자,57487 ,31557 ,25930 
2015 ,강남구,서비스종사자,25951 ,10618 ,15333 
2015 ,강남구,판매종사자,29450 ,15748 ,13702 
2015 ,강남구,농림어업 숙련 종사자,349 ,250 ,99 
2015 ,강남구,기능원 및 관련기능종사자,8405 ,6218 ,2187 
2015 ,강남구,장치기계조작 및 조립종사자,6988 ,6011 ,977 
2015 ,강남구,단순노무종사자,14661 ,7393 ,7268 
2015 ,강남구,기타,164 ,138 ,26 
2015 ,송파구,소계,307353 ,176688 ,130665 
2015 ,송파구,관리자,12231 ,9901 ,2330 
2015 ,송파구,전문가 및 관련종사자,99409 ,53965 ,45444 
2015 ,송파구,사무종사자,65162 ,33672 ,31490 
2015 ,송파구,서비스종사자,29277 ,12049 ,17228 
2015 ,송파구,판매종사자,43410 ,25214 ,18196 
2015 ,송파구,농림어업 숙련 종사자,532 ,375 ,157 
2015 ,송파구,기능원 및 관련기능종사자,17016 ,13474 ,3542 
2015 ,송파구,장치기계조작 및 조립종사자,13978 ,12229 ,1749 
2015 ,송파구,단순노무종사자,25101 ,14614 ,10487 
2015 ,송파구,기타,1237 ,1195 ,42 
2015 ,강동구,소계,218203 ,125357 ,92846 
2015 ,강동구,관리자,5107 ,4408 ,699 
2015 ,강동구,전문가 및 관련종사자,56889 ,29725 ,27164 
2015 ,강동구,사무종사자,42834 ,21883 ,20951 
2015 ,강동구,서비스종사자,24285 ,10021 ,14264 
2015 ,강동구,판매종사자,31714 ,17351 ,14363 
2015 ,강동구,농림어업 숙련 종사자,508 ,376 ,132 
2015 ,강동구,기능원 및 관련기능종사자,19744 ,15718 ,4026 
2015 ,강동구,장치기계조작 및 조립종사자,13911 ,12259 ,1652 
2015 ,강동구,단순노무종사자,23105 ,13510 ,9595 
2015 ,강동구,기타,106 ,106 ,-
